cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
A6537,"Gradient compression stocking, full length/chap style, 30-40 mmhg, each",Gc stocking full lngth 30-40,D1A, Medical/surgical supplies
A6538,"Gradient compression stocking, full length/chap style, 40-50 mmhg, each",Gc stocking full lngth 40-50,D1A, Medical/surgical supplies
A6539,"Gradient compression stocking, waist length, 18-30 mmhg, each",Gc stocking waistlngth 18-30,D1A, Medical/surgical supplies
A6540,"Gradient compression stocking, waist length, 30-40 mmhg, each",Gc stocking waistlngth 30-40,D1A, Medical/surgical supplies
A6541,"Gradient compression stocking, waist length, 40-50 mmhg, each",Gc stocking waistlngth 40-50,D1A, Medical/surgical supplies
A6544,"Gradient compression stocking, garter belt",Gc stocking garter belt,D1A, Medical/surgical supplies
A6545,"Gradient compression wrap, non-elastic, below knee, 30-50 mm hg, each",Grad comp non-elastic bk,D1A, Medical/surgical supplies
A6549,"Gradient compression stocking/sleeve, not otherwise specified",G compression stocking,D1A, Medical/surgical supplies
A6550,"Wound care set, for negative pressure wound therapy electrical pump, includes all supplies and accessories",Neg pres wound ther drsg set,D1E, Other DME
A7000,"Canister, disposable, used with suction pump, each",Disposable canister for pump,D1E, Other DME
A7001,"Canister, non-disposable, used with suction pump, each",Nondisposable pump canister,D1E, Other DME
A7002,"Tubing, used with suction pump, each",Tubing used w suction pump,D1E, Other DME
A7003,"Administration set, with small volume nonfiltered pneumatic nebulizer, disposable",Nebulizer administration set,D1E, Other DME
A7004,"Small volume nonfiltered pneumatic nebulizer, disposable",Disposable nebulizer sml vol,D1E, Other DME
A7005,"Administration set, with small volume nonfiltered pneumatic nebulizer, non-disposable",Nondisposable nebulizer set,D1E, Other DME
A7006,"Administration set, with small volume filtered pneumatic nebulizer",Filtered nebulizer admin set,D1E, Other DME
A7007,"Large volume nebulizer, disposable, unfilled, used with aerosol compressor",Lg vol nebulizer disposable,D1E, Other DME
A7008,"Large volume nebulizer, disposable, prefilled, used with aerosol compressor",Disposable nebulizer prefill,D1E, Other DME
A7009,"Reservoir bottle, non-disposable, used with large volume ultrasonic nebulizer",Nebulizer reservoir bottle,D1E, Other DME
A7010,"Corrugated tubing, disposable, used with large volume nebulizer, 100 feet",Disposable corrugated tubing,D1E, Other DME
A7011,"Corrugated tubing, non-disposable, used with large volume nebulizer, 10 feet",Nondispos corrugated tubing,D1E, Other DME
A7012,"Water collection device, used with large volume nebulizer",Nebulizer water collec devic,D1E, Other DME
A7013,"Filter, disposable, used with aerosol compressor or ultrasonic generator",Disposable compressor filter,D1E, Other DME
A7014,"Filter, nondisposable, used with aerosol compressor or ultrasonic generator",Compressor nondispos filter,D1E, Other DME
A7015,"Aerosol mask, used with dme nebulizer",Aerosol mask used w nebulize,D1E, Other DME
A7016,"Dome and mouthpiece, used with small volume ultrasonic nebulizer",Nebulizer dome & mouthpiece,D1E, Other DME
A7017,"Nebulizer, durable, glass or autoclavable plastic, bottle type, not used with oxygen",Nebulizer not used w oxygen,D1E, Other DME
A7018,"Water, distilled, used with large volume nebulizer, 1000 ml",Water distilled w/nebulizer,D1E, Other DME
A7020,"Interface for cough stimulating device, includes all components, replacement only","Interface, cough stim device",D1E, Other DME
A7025,"High frequency chest wall oscillation system vest, replacement for use with patient owned equipment, each",Replace chest compress vest,D1E, Other DME
A7026,"High frequency chest wall oscillation system hose, replacement for use with patient owned equipment, each",Replace chst cmprss sys hose,D1E, Other DME
A7027,"Combination oral/nasal mask, used with continuous positive airway pressure device, each",Combination oral/nasal mask,D1E, Other DME
A7028,"Oral cushion for combination oral/nasal mask, replacement only, each",Repl oral cushion combo mask,D1E, Other DME
A7029,"Nasal pillows for combination oral/nasal mask, replacement only, pair",Repl nasal pillow comb mask,D1E, Other DME
A7030,"Full face mask used with positive airway pressure device, each",Cpap full face mask,D1E, Other DME
A7031,"Face mask interface, replacement for full face mask, each",Replacement facemask interfa,D1E, Other DME
A7032,"Cushion for use on nasal mask interface, replacement only, each",Replacement nasal cushion,D1E, Other DME
A7033,"Pillow for use on nasal cannula type interface, replacement only, pair",Replacement nasal pillows,D1E, Other DME
A7034,"Nasal interface (mask or cannula type) used with positive airway pressure device, with or without head strap",Nasal application device,D1E, Other DME
A7035,Headgear used with positive airway pressure device,Pos airway press headgear,D1E, Other DME
A7036,Chinstrap used with positive airway pressure device,Pos airway press chinstrap,D1E, Other DME
A7037,Tubing used with positive airway pressure device,Pos airway pressure tubing,D1E, Other DME
A7038,"Filter, disposable, used with positive airway pressure device",Pos airway pressure filter,D1E, Other DME
A7039,"Filter, non disposable, used with positive airway pressure device","Filter, non disposable w pap",D1E, Other DME
A7040,One way chest drain valve,One way chest drain valve,D1F, Prosthetic/Orthotic devices
A7041,Water seal drainage container and tubing for use with implanted chest tube,Water seal drain container,D1F, Prosthetic/Orthotic devices
A7042,"Implanted pleural catheter, each",Implanted pleural catheter,D1F, Prosthetic/Orthotic devices
A7043,Vacuum drainage bottle and tubing for use with implanted catheter,Vacuum drainagebottle/tubing,D1F, Prosthetic/Orthotic devices
A7044,"Oral interface used with positive airway pressure device, each",Pap oral interface,D1E, Other DME
A7045,"Exhalation port with or without swivel used with accessories for positive airway devices, replacement only",Repl exhalation port for pap,D1E, Other DME
A7046,"Water chamber for humidifier, used with positive airway pressure device, replacement, each","Repl water chamber, pap dev",D1E, Other DME
A7047,"Oral interface used with respiratory suction pump, each",Resp suction oral interface,D1E, Other DME
A7048,"Vacuum drainage collection unit and tubing kit, including all supplies needed for collection unit change, for use with implanted catheter, each",Vacuum drain bottle/tube kit,D1F, Prosthetic/Orthotic devices
A7501,"Tracheostoma valve, including diaphragm, each",Tracheostoma valve w diaphra,D1F, Prosthetic/Orthotic devices
A7502,"Replacement diaphragm/faceplate for tracheostoma valve, each",Replacement diaphragm/fplate,D1F, Prosthetic/Orthotic devices
A7503,"Filter holder or filter cap, reusable, for use in a tracheostoma heat and moisture exchange system, each",Hmes filter holder or cap,D1F, Prosthetic/Orthotic devices
A7504,"Filter for use in a tracheostoma heat and moisture exchange system, each",Tracheostoma hmes filter,D1F, Prosthetic/Orthotic devices
A7505,"Housing, reusable without adhesive, for use in a heat and moisture exchange system and/or with a tracheostoma valve, each",Hmes or trach valve housing,D1F, Prosthetic/Orthotic devices
A7506,"Adhesive disc for use in a heat and moisture exchange system and/or with tracheostoma valve, any type each",Hmes/trachvalve adhesivedisk,D1F, Prosthetic/Orthotic devices
A7507,"Filter holder and integrated filter without adhesive, for use in a tracheostoma heat and moisture exchange system, each",Integrated filter & holder,D1F, Prosthetic/Orthotic devices
A7508,"Housing and integrated adhesive, for use in a tracheostoma heat and moisture exchange system and/or with a tracheostoma valve, each",Housing & integrated adhesiv,D1F, Prosthetic/Orthotic devices
A7509,"Filter holder and integrated filter housing, and adhesive, for use as a tracheostoma heat and moisture exchange system, each",Heat & moisture exchange sys,D1F, Prosthetic/Orthotic devices
A7520,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each",Trach/laryn tube non-cuffed,D1F, Prosthetic/Orthotic devices
A7521,"Tracheostomy/laryngectomy tube, cuffed, polyvinylchloride (pvc), silicone or equal, each",Trach/laryn tube cuffed,D1F, Prosthetic/Orthotic devices
A7522,"Tracheostomy/laryngectomy tube, stainless steel or equal (sterilizable and reusable), each",Trach/laryn tube stainless,D1F, Prosthetic/Orthotic devices
A7523,"Tracheostomy shower protector, each",Tracheostomy shower protect,D1F, Prosthetic/Orthotic devices
A7524,"Tracheostoma stent/stud/button, each",Tracheostoma stent/stud/bttn,D1F, Prosthetic/Orthotic devices
A7525,"Tracheostomy mask, each",Tracheostomy mask,D1F, Prosthetic/Orthotic devices
A7526,"Tracheostomy tube collar/holder, each",Tracheostomy tube collar,D1F, Prosthetic/Orthotic devices
A7527,"Tracheostomy/laryngectomy tube plug/stop, each",Trach/laryn tube plug/stop,D1A, Medical/surgical supplies
A8000,"Helmet, protective, soft, prefabricated, includes all components and accessories",Soft protect helmet prefab,D1E, Other DME
A8001,"Helmet, protective, hard, prefabricated, includes all components and accessories",Hard protect helmet prefab,D1E, Other DME
A8002,"Helmet, protective, soft, custom fabricated, includes all components and accessories",Soft protect helmet custom,D1E, Other DME
A8003,"Helmet, protective, hard, custom fabricated, includes all components and accessories",Hard protect helmet custom,D1E, Other DME
A8004,"Soft interface for helmet, replacement only","Repl soft interface, helmet",D1E, Other DME
A9150,Non-prescription drugs,Misc/exper non-prescript dru,O1E, Other drugs
A9152,"Single vitamin/mineral/trace element, oral, per dose, not otherwise specified",Single vitamin nos,Z2, Undefined codes
A9153,"Multiple vitamins, with or without minerals and trace elements, oral, per dose, not otherwise specified",Multi-vitamin nos,Z2, Undefined codes
A9155,"Artificial saliva, 30 ml",Artificial saliva,Z2, Undefined codes
A9180,"Pediculosis (lice infestation) treatment, topical, for administration by patient/caretaker","Lice treatment, topical",Z2, Undefined codes
A9270,Non-covered item or service,Non-covered item or service,Z2, Undefined codes
A9272,"Wound suction, disposable, includes dressing, all accessories and components, any type, each","Disp wound suct, drsg/access",D1A, Medical/surgical supplies
A9273,"Cold or hot fluid bottle, ice cap or collar, heat and/or cold wrap, any type",Hot/cold botle/cap/col/wrap,Z2, Undefined codes
A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",Ext amb insulin delivery sys,D1A, Medical/surgical supplies
A9275,"Home glucose disposable monitor, includes test strips",Disp home glucose monitor,T1E, Lab tests_glucose
A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with interstitial continuous glucose monitoring system, one unit = 1 day supply","Disposable sensor, cgm sys",D1E, Other DME
A9277,"Transmitter; external, for use with interstitial continuous glucose monitoring system","External transmitter, cgm",D1E, Other DME
A9278,"Receiver (monitor); external, for use with interstitial continuous glucose monitoring system","External receiver, cgm sys",D1E, Other DME
A9279,"Monitoring feature/device, stand-alone or integrated, any type, includes all accessories, components and electronics, not otherwise classified",Monitoring feature/devicenoc,T2D, Other tests_other
A9280,"Alert or alarm device, not otherwise classified","Alert device, noc",Z2, Undefined codes
A9281,"Reaching/grabbing device, any type, any length, each",Reaching/grabbing device,D1E, Other DME
A9282,"Wig, any type, each",Wig any type,Z2, Undefined codes
A9283,"Foot pressure off loading/supportive device, any type, each",Foot press off load supp dev,D1E, Other DME
A9284,"Spirometer, non-electronic, includes all accessories",Non-electronic spirometer,Z2, Undefined codes
A9285,Inversion/eversion correction device,Inversion eversion cor devic,Z2, Undefined codes
A9286,"Hygienic item or device, disposable or non-disposable, any type, each","Any hygienic item, device",D1A, Medical/surgical supplies
A9300,Exercise equipment,Exercise equipment,Z2, Undefined codes
A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose",Tc99m sestamibi,I1E, Standard imaging_nuclear medicine
A9501,"Technetium tc-99m teboroxime, diagnostic, per study dose",Technetium tc-99m teboroxime,I1E, Standard imaging_nuclear medicine
A9502,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",Tc99m tetrofosmin,I1E, Standard imaging_nuclear medicine
A9503,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries",Tc99m medronate,I1E, Standard imaging_nuclear medicine
A9504,"Technetium tc-99m apcitide, diagnostic, per study dose, up to 20 millicuries",Tc99m apcitide,I1E, Standard imaging_nuclear medicine
A9505,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",Tl201 thallium,I1E, Standard imaging_nuclear medicine
A9507,"Indium in-111 capromab pendetide, diagnostic, per study dose, up to 10 millicuries",In111 capromab,I1E, Standard imaging_nuclear medicine
A9508,"Iodine i-131 iobenguane sulfate, diagnostic, per 0.5 millicurie","I131 iodobenguate, dx",I1E, Standard imaging_nuclear medicine
A9509,"Iodine i-123 sodium iodide, diagnostic, per millicurie",Iodine i-123 sod iodide mil,I1E, Standard imaging_nuclear medicine
A9510,"Technetium tc-99m disofenin, diagnostic, per study dose, up to 15 millicuries",Tc99m disofenin,I1E, Standard imaging_nuclear medicine
